138920940977	знаешь , я иногда подумываю , что тебе надо принести сюда свою гитару и показать местным настоящую игру .	не - а .	нет ?	0	неа .
138920940977	знаешь , я иногда подумываю , что тебе надо принести сюда свою гитару и показать местным настоящую игру .	не - а .	нет ?	1	нет , не хочу .
138920940977	знаешь , я иногда подумываю , что тебе надо принести сюда свою гитару и показать местным настоящую игру .	не - а .	нет ?	2	нет .
138920940977	знаешь , я иногда подумываю , что тебе надо принести сюда свою гитару и показать местным настоящую игру .	не - а .	нет ?	3	конечно , нет .
138920940977	знаешь , я иногда подумываю , что тебе надо принести сюда свою гитару и показать местным настоящую игру .	не - а .	нет ?	4	разумеется , нет .
138920940977	знаешь , я иногда подумываю , что тебе надо принести сюда свою гитару и показать местным настоящую игру .	не - а .	нет ?	5	да , нет .
178951117610	ему не хватало внимания .	это ответы ника с первого теста .	по нашему опыту , если бы ему " не хватало внимания "	0	он бы остановился .
178951117610	ему не хватало внимания .	это ответы ника с первого теста .	по нашему опыту , если бы ему " не хватало внимания "	1	но наш анализ показывает , что его ответы не были случайными .
178951117610	ему не хватало внимания .	это ответы ника с первого теста .	по нашему опыту , если бы ему " не хватало внимания "	2	точно , не хватает .
178951117610	ему не хватало внимания .	это ответы ника с первого теста .	по нашему опыту , если бы ему " не хватало внимания "	3	он бы разглядывал её , она бы чувствовала себя неуютно .
178951117610	ему не хватало внимания .	это ответы ника с первого теста .	по нашему опыту , если бы ему " не хватало внимания "	4	он сам вызвался .
178951117610	ему не хватало внимания .	это ответы ника с первого теста .	по нашему опыту , если бы ему " не хватало внимания "	5	он бы готовился сделать то , что должно быть сделано .
281631344938			ханна , это письмо доказывает , что элисон знала бетани , и заманила ее сюда на день труда .	0	она счастлива .
281631344938			ханна , это письмо доказывает , что элисон знала бетани , и заманила ее сюда на день труда .	1	она писала книги .
281631344938			ханна , это письмо доказывает , что элисон знала бетани , и заманила ее сюда на день труда .	2	она совершила оплошность .
281631344938			ханна , это письмо доказывает , что элисон знала бетани , и заманила ее сюда на день труда .	3	это был бестселлер
281631344938			ханна , это письмо доказывает , что элисон знала бетани , и заманила ее сюда на день труда .	4	у неё одной есть книга ?
281631344938			ханна , это письмо доказывает , что элисон знала бетани , и заманила ее сюда на день труда .	5	да . . . мы ж не знаем сколько времени олуэн была у мартина , что она там делала , что говорил ей мартин . . . ничего не знаем .
303514034521	сын линдси :	мам !	черт !	0	мамочка ?
303514034521	сын линдси :	мам !	черт !	1	ричи !
303514034521	сын линдси :	мам !	черт !	2	мам , дверь открой !
303514034521	сын линдси :	мам !	черт !	3	рори !
303514034521	сын линдси :	мам !	черт !	4	мать твою !
303514034521	сын линдси :	мам !	черт !	5	пап !
365063656210			мы вернемся во - время , клянусь .	0	что нас ждет на сей раз ?
365063656210			мы вернемся во - время , клянусь .	1	эй !
365063656210			мы вернемся во - время , клянусь .	2	вы не можете ждать .
365063656210			мы вернемся во - время , клянусь .	3	ещё как вернётесь .
365063656210			мы вернемся во - время , клянусь .	4	только так мы сможем выжить .
365063656210			мы вернемся во - время , клянусь .	5	только не сэма .
389566495163		подождите , вернитесь !	ему просто нужно немного времени чтобы адаптироваться !	0	их тут слишком много !
389566495163		подождите , вернитесь !	ему просто нужно немного времени чтобы адаптироваться !	1	никому не справиться !
389566495163		подождите , вернитесь !	ему просто нужно немного времени чтобы адаптироваться !	2	ему промыли мозги , тут ничего не поделаешь !
389566495163		подождите , вернитесь !	ему просто нужно немного времени чтобы адаптироваться !	3	слишком много ! о , оно работает .
389566495163		подождите , вернитесь !	ему просто нужно немного времени чтобы адаптироваться !	4	их слишком много !
389566495163		подождите , вернитесь !	ему просто нужно немного времени чтобы адаптироваться !	5	никому не двигаться !
653782155429			кажется , мы с мишель расстались .	0	вы расстались ?
653782155429			кажется , мы с мишель расстались .	1	нет ! как так ?
653782155429			кажется , мы с мишель расстались .	2	правда ?
653782155429			кажется , мы с мишель расстались .	3	и она рассталась ?
653782155429			кажется , мы с мишель расстались .	4	почему они расстались ?
653782155429			кажется , мы с мишель расстались .	5	расстались ?
718705399662			виктория , я сержант бенсон .	0	синьора аделина !
718705399662			виктория , я сержант бенсон .	1	мистер дженкинс !
718705399662			виктория , я сержант бенсон .	2	приятно познакомиться .
718705399662			виктория , я сержант бенсон .	3	а , да , я рад ! приятно познакомиться !
718705399662			виктория , я сержант бенсон .	4	приятно познакомиться бетани .
